WellName   X   Y   Z   MD   MarkerName
03000763 6114407.5000192234 2234620.2499910286 721.9850735401543 721.533997 Top_Sandy_6
03000763 6114407.9998346753 2234620.499898755 703.08229741774824 740.439026 Bottom_Sandy_6
03000763 6114407.9998346753 2234620.7498064814 690.96472632540804 752.557983 Delta_A
03000763 6114422.0002742568 2234626.2501794207 425.32372662401571 1018.78998 Bottom_Diatomite
03000766 6114814.5003831908 2235343.7500800984 1258.0803498195537 168.817993 B_UD
03000766 6114814.5003831908 2235343.7500800984 1099.8152685290559 327.083008 Top_Diatomite
03000766 6114814.5003831908 2235343.7500800984 1080.6662892419208 346.231995 Bottom_Sandy_1
03000766 6114814.5003831908 2235343.7500800984 1066.5473036878691 360.351013 Top_Sandy_2
03000766 6114814.5003831908 2235343.7500800984 1040.6623299666276 386.235992 Bottom_Sandy_2
03000766 6114814.5003831908 2235343.7500800984 1021.4632890355867 405.434998 Top_Sandy_3
03000766 6114814.5003831908 2235343.7500800984 1007.286332097892 419.612 Bottom_Sandy_3
03000766 6114814.5003831908 2235343.7500800984 943.49237877552889 483.406006 Top_Sandy_4
03000766 6114814.5003831908 2235343.7500800984 910.41434781132079 516.484009 Bottom_Sandy_4
03000766 6114814.5003831908 2235343.7500800984 898.60030046598172 528.297974 Top_Sandy_5
03000766 6114814.5003831908 2235343.7500800984 865.52126826889548 561.377014 Bottom_Sandy_5
03000766 6114814.5003831908 2235343.7500800984 848.39227631336109 578.505981 Top_Sandy_6
03000766 6114814.5003831908 2235343.7500800984 833.03426507263976 593.864014 Bottom_Sandy_6
03000766 6114814.5003831908 2235343.7500800984 817.62433990718807 609.273987 Delta_A
03000830 6114952.4999102885 2234769.7500794576 1421.8611229123092 0 Elev
03001552 6114091.4997090809 2235790.7500980403 1312.8653098279096 138.513 PM_Unc
03001552 6114091.4997090809 2235790.7500980403 1271.541325126107 179.837006 B_UD
03001552 6114091.4997090809 2235790.7500980403 1106.3862597848486 344.992004 Top_Diatomite
03001552 6114091.4997090809 2235790.7500980403 1091.8432521069142 359.535004 Bottom_Sandy_1
03001552 6114091.4997090809 2235790.7500980403 1075.9592932353182 375.419006 Top_Sandy_2
03001552 6114091.4997090809 2235790.7500980403 1054.7813155206795 396.596985 Bottom_Sandy_2
03001552 6114091.4997090809 2235790.7500980403 1029.7332723622558 421.644989 Top_Sandy_3
03001552 6114091.4997090809 2235790.7500980403 1003.7423682025097 447.635986 Bottom_Sandy_3
03001552 6114091.4997090809 2235790.7500980403 984.84039306640614 466.537994 Top_Sandy_4
03001552 6114091.4997090809 2235790.7500980403 944.67433418814585 506.70401 Bottom_Sandy_4
03001552 6114091.4997090809 2235790.7500980403 934.04134114583326 517.336975 Top_Sandy_5
03001552 6114091.4997090809 2235790.7500980403 895.05633657059946 556.322021 Bottom_Sandy_5
03001552 6114091.4997090809 2235790.7500980403 873.20032395090004 578.177979 Top_Sandy_6
03001552 6114091.4997090809 2235790.7500980403 855.4803042274134 595.89801 Bottom_Sandy_6
03001552 6114091.4997090809 2235790.7500980403 839.18338685523793 612.195007 Delta_A
03001552 6114091.4997090809 2235790.7500980403 548.76733013964065 902.611023 Bottom_Diatomite
03001793 6114606.5002601594 2235415.7499378431 1286.9390853120897 161.130005 PM_Unc
03001793 6114606.5002601594 2235415.7499378431 1256.3412083102648 191.727997 B_UD
03001793 6114606.5002601594 2235415.7499378431 1091.1191604894602 356.950012 Top_Diatomite
03001793 6114606.5002601594 2235415.7499378431 1073.01817165585 375.050995 Bottom_Sandy_1
03001793 6114606.5002601594 2235415.7499378431 1058.3111620324803 389.757996 Top_Sandy_2
03001793 6114606.5002601594 2235415.7499378431 1043.0152272302021 405.053986 Bottom_Sandy_2
03001793 6114606.5002601594 2235415.7499378431 1037.2031704960218 410.865997 FaultSearch
03001793 6114606.5002601594 2235415.7499378431 1017.9192250169167 430.149994 Bottom_Sandy_3
03001793 6114606.5002601594 2235415.7499378431 948.21819796024022 499.851013 Top_Sandy_4
03001793 6114606.5002601594 2235415.7499378431 915.13916576315398 532.929993 Bottom_Sandy_4
03001793 6114606.5002601594 2235415.7499378431 903.32621977398082 544.742981 Top_Sandy_5
03001793 6114606.5002601594 2235415.7499378431 870.24718757689459 577.822021 Bottom_Sandy_5
03001793 6114606.5002601594 2235415.7499378431 849.57313036981213 598.495972 Top_Sandy_6
03001793 6114606.5002601594 2235415.7499378431 831.85220953673502 616.21698 Bottom_Sandy_6
03001793 6114606.5002601594 2235415.7499378431 817.62418972225635 630.445007 Delta_A
03001794 6114626.5000871466 2235407.7500871471 1442.2328077902005 0 Elev
03001794 6114626.0002716938 2235410.4998731236 1288.5081173553865 153.781998 PM_Unc
