X,Y,Elev
6110242.05090000000,2234061.28491000000,1699.92187500000
6110342.05090000000,2234061.28491000000,1686.43737793000
6110442.05090000000,2234061.28491000000,1676.36938477000
6110542.05090000000,2234061.28491000000,1661.39782715000
6110642.05090000000,2234061.28491000000,1648.67053223000
6110742.05090000000,2234061.28491000000,1672.03967285000
6110842.05090000000,2234061.28491000000,1696.16699219000
6110942.05090000000,2234061.28491000000,1675.51721191000
6111042.05090000000,2234061.28491000000,1647.12158203000
6111142.05090000000,2234061.28491000000,1637.25964355000
6111242.05090000000,2234061.28491000000,1648.99084473000
6111342.05090000000,2234061.28491000000,1658.25256348000
6111442.05090000000,2234061.28491000000,1667.88000488000
6111542.05090000000,2234061.28491000000,1683.45214844000
6111642.05090000000,2234061.28491000000,1694.81542969000
6111742.05090000000,2234061.28491000000,1691.98376465000
6111842.05090000000,2234061.28491000000,1668.01098633000
6111942.05090000000,2234061.28491000000,1652.52478027000
6112042.05090000000,2234061.28491000000,1646.22668457000
6112142.05090000000,2234061.28491000000,1610.96032715000
6112242.05090000000,2234061.28491000000,1597.94396973000
6112342.05090000000,2234061.28491000000,1592.70837402000
6112442.05090000000,2234061.28491000000,1599.98828125000
6112542.05090000000,2234061.28491000000,1604.25305176000
6112642.05090000000,2234061.28491000000,1597.28930664000
6112742.05090000000,2234061.28491000000,1567.81994629000
6112842.05090000000,2234061.28491000000,1552.08227539000
6112942.05090000000,2234061.28491000000,1546.04394531000
6113042.05090000000,2234061.28491000000,1545.39440918000
6113142.05090000000,2234061.28491000000,1533.54736328000
6113242.05090000000,2234061.28491000000,1511.34643555000
6113342.05090000000,2234061.28491000000,1496.84570313000
6113442.05090000000,2234061.28491000000,1479.36181641000
6113542.05090000000,2234061.28491000000,1458.37622070000
6113642.05090000000,2234061.28491000000,1444.44848633000
6113742.05090000000,2234061.28491000000,1434.40490723000
6113842.05090000000,2234061.28491000000,1424.79553223000
6113942.05090000000,2234061.28491000000,1435.16516113000
6114042.05090000000,2234061.28491000000,1451.59289551000
6114142.05090000000,2234061.28491000000,1461.22155762000
6114242.05090000000,2234061.28491000000,1464.88647461000
6114342.05090000000,2234061.28491000000,1461.00622559000
6114442.05090000000,2234061.28491000000,1449.86389160000
6114542.05090000000,2234061.28491000000,1437.81250000000
6114642.05090000000,2234061.28491000000,1431.50927734000
